Câu hỏi,Trả lời
Chương trình khuyến mãi trên mạng xã hội ảnh hưởng đến quyết định tham gia khóa học trực tuyến của bạn như thế nào?,Chương trình khuyến mãi trên mạng xã hội ảnh hưởng tích cực đến quyết định tham gia khóa học trực tuyến của tôi.
Bạn có sử dụng các nền tảng trực tuyến để giữ liên lạc với các thành viên trong gia đình không?,"Có, tôi sử dụng các nền tảng trực tuyến để giữ liên lạc với các thành viên trong gia đình."
Bạn có sử dụng Facebook để giữ liên lạc với người thân không?,"Có, tôi sử dụng Facebook để giữ liên lạc với người thân."
Bạn có dùng mạng xã hội để trò chuyện với người thân ở xa không?,"Có, tôi dùng mạng xã hội để trò chuyện với người thân ở xa."
Bạn có thích gặp gỡ người thân trực tiếp hơn là trò chuyện qua mạng xã hội không?,Tôi thích gặp gỡ người thân trực tiếp hơn là trò chuyện qua mạng xã hội.
Mạng xã hội giúp bạn duy trì mối quan hệ với gia đình như thế nào?,Mạng xã hội giúp tôi duy trì mối quan hệ với gia đình bằng cách dễ dàng liên lạc và chia sẻ thông tin.
Các nền tảng trực tuyến ảnh hưởng đến việc lựa chọn du lịch hoặc lối sống của bạn không?,"Có, các nền tảng trực tuyến ảnh hưởng đến việc lựa chọn du lịch hoặc lối sống của tôi."
Việc xem ảnh du lịch trên Instagram ảnh hưởng đến quyết định du lịch của bạn như thế nào?,Việc xem ảnh du lịch trên Instagram ảnh hưởng tích cực đến quyết định du lịch của tôi.
Mạng xã hội tác động đến lựa chọn du lịch và lối sống của bạn ra sao?,Mạng xã hội tác động mạnh mẽ đến lựa chọn du lịch và lối sống của tôi.
Bạn có thích tự khám phá địa điểm du lịch hơn là xem ảnh trên mạng xã hội không?,Tôi thích tự khám phá địa điểm du lịch hơn là xem ảnh trên mạng xã hội.
Mạng xã hội giúp bạn khám phá những địa điểm du lịch và lối sống mới như thế nào?,Mạng xã hội giúp tôi khám phá những địa điểm du lịch và lối sống mới thông qua chia sẻ từ bạn bè và người theo dõi.
Bạn có nghĩ rằng các nền tảng trực tuyến thúc đẩy các tiêu chuẩn sắc đẹp phi thực tế không?,"Có, tôi nghĩ rằng các nền tảng trực tuyến thúc đẩy các tiêu chuẩn sắc đẹp phi thực tế."
Bạn có nghĩ rằng các bài đăng trên Instagram thúc đẩy hình ảnh cơ thể không thực tế không?,"Có, tôi nghĩ rằng các bài đăng trên Instagram thúc đẩy hình ảnh cơ thể không thực tế."
Mạng xã hội có tạo ra những tiêu chuẩn sắc đẹp khó đạt được không?,"Có, mạng xã hội tạo ra những tiêu chuẩn sắc đẹp khó đạt được."
Mạng xã hội có giúp mọi người cảm thấy tự tin hơn về ngoại hình của mình không?,"Có, mạng xã hội giúp mọi người cảm thấy tự tin hơn về ngoại hình của mình."
Tiêu chuẩn sắc đẹp trên mạng xã hội ảnh hưởng đến lòng tự trọng của bạn như thế nào?,Tiêu chuẩn sắc đẹp trên mạng xã hội ảnh hưởng tiêu cực đến lòng tự trọng của tôi.
Bạn đã bao giờ cảm thấy lo lắng vì sợ bỏ lỡ những điều thú vị trên mạng xã hội chưa?,"Có, tôi đã cảm thấy lo lắng vì sợ bỏ lỡ những điều thú vị trên mạng xã hội."
Bạn đã bao giờ cảm thấy lo lắng vì bạn bè của mình đang có khoảng thời gian vui vẻ trên mạng xã hội mà không có bạn không?,"Có, tôi đã cảm thấy lo lắng vì bạn bè của mình đang có khoảng thời gian vui vẻ trên mạng xã hội mà không có tôi."
Bạn có cảm thấy sợ bỏ lỡ những sự kiện trên mạng xã hội không?,"Có, tôi cảm thấy sợ bỏ lỡ những sự kiện trên mạng xã hội."
Bạn có cảm thấy thoải mái khi không sử dụng mạng xã hội và không sợ bỏ lỡ điều gì không?,"Có, tôi cảm thấy thoải mái khi không sử dụng mạng xã hội và không sợ bỏ lỡ điều gì."
Mạng xã hội ảnh hưởng đến cảm giác sợ bỏ lỡ của bạn như thế nào?,Mạng xã hội ảnh hưởng tiêu cực đến cảm giác sợ bỏ lỡ của tôi.
Bạn có thường xuyên cập nhật thông tin về cuộc sống hàng ngày của mình trên mạng xã hội không?,"Có, tôi thường xuyên cập nhật thông tin về cuộc sống hàng ngày của mình trên mạng xã hội."
Bạn có thường xuyên đăng ảnh về những gì bạn đang làm trên Instagram không?,"Có, tôi thường xuyên đăng ảnh về những gì tôi đang làm trên Instagram."
Bạn có thường xuyên chia sẻ những hoạt động hàng ngày của mình trên mạng xã hội không?,"Có, tôi thường xuyên chia sẻ những hoạt động hàng ngày của mình trên mạng xã hội."
Bạn có thích giữ kín cuộc sống cá nhân hơn là chia sẻ trên mạng xã hội không?,Tôi thích giữ kín cuộc sống cá nhân hơn là chia sẻ trên mạng xã hội.
Việc chia sẻ cuộc sống hàng ngày trên mạng xã hội mang lại lợi ích gì cho bạn?,Việc chia sẻ cuộc sống hàng ngày trên mạng xã hội mang lại lợi ích cho tôi bằng cách kết nối với bạn bè và gia đình.
Bạn có thích trò chuyện trực tuyến hơn là trò chuyện trực tiếp không?,Tôi thích trò chuyện trực tuyến hơn là trò chuyện trực tiếp.
Bạn có thích nhắn tin trên Facebook hơn là nói chuyện trực tiếp không?,Tôi thích nhắn tin trên Facebook hơn là nói chuyện trực tiếp.
Mạng xã hội có khiến bạn cảm thấy thoải mái hơn khi giao tiếp không?,"Có, mạng xã hội khiến tôi cảm thấy thoải mái hơn khi giao tiếp."
Bạn có thích gặp gỡ mọi người trực tiếp hơn là trò chuyện qua mạng xã hội không?,Tôi thích gặp gỡ mọi người trực tiếp hơn là trò chuyện qua mạng xã hội.
Mạng xã hội ảnh hưởng đến khả năng giao tiếp trực tiếp của bạn như thế nào?,Mạng xã hội ảnh hưởng tiêu cực đến khả năng giao tiếp trực tiếp của tôi.
Bạn đã bao giờ thực hiện một kết nối có ý nghĩa thông qua các nền tảng trực tuyến không?,"Có, tôi đã thực hiện một kết nối có ý nghĩa thông qua các nền tảng trực tuyến."
Bạn đã bao giờ gặp gỡ một người bạn tốt qua mạng xã hội chưa?,"Có, tôi đã gặp gỡ một người bạn tốt qua mạng xã hội."
Mạng xã hội có giúp bạn xây dựng những mối quan hệ có ý nghĩa không?,"Có, mạng xã hội giúp tôi xây dựng những mối quan hệ có ý nghĩa."
Bạn có thích gặp gỡ bạn bè ngoài đời thực hơn là kết bạn qua mạng xã hội không?,Tôi thích gặp gỡ bạn bè ngoài đời thực hơn là kết bạn qua mạng xã hội.
Mạng xã hội ảnh hưởng đến các mối quan hệ của bạn như thế nào?,Mạng xã hội ảnh hưởng tích cực và tiêu cực đến các mối quan hệ của tôi.
Bạn có sử dụng các nền tảng trực tuyến để giải trí hoặc thư giãn không?,"Có, tôi sử dụng các nền tảng trực tuyến để giải trí và thư giãn."
Bạn có xem video trên YouTube để giải trí không?,"Có, tôi xem video trên YouTube để giải trí."
Bạn có dùng mạng xã hội để giảm căng thẳng không?,"Có, tôi dùng mạng xã hội để giảm căng thẳng."
Bạn có thích các hoạt động giải trí khác hơn là sử dụng mạng xã hội không?,Tôi thích các hoạt động giải trí khác hơn là sử dụng mạng xã hội.
Mạng xã hội ảnh hưởng đến thời gian giải trí của bạn như thế nào?,Mạng xã hội ảnh hưởng đến thời gian giải trí của tôi bằng cách làm tôi dành nhiều thời gian hơn trên đó.
Bạn có tin rằng các nền tảng trực tuyến ảnh hưởng đến chất lượng giấc ngủ không?,"Có, tôi tin rằng các nền tảng trực tuyến ảnh hưởng đến chất lượng giấc ngủ."
Bạn có nghĩ rằng việc sử dụng điện thoại trước khi ngủ ảnh hưởng đến giấc ngủ không?,"Có, tôi nghĩ rằng việc sử dụng điện thoại trước khi ngủ ảnh hưởng đến giấc ngủ."
Mạng xã hội có khiến bạn khó ngủ không?,"Có, mạng xã hội khiến tôi khó ngủ."
Bạn có cảm thấy ngủ ngon hơn khi không sử dụng mạng xã hội trước khi ngủ không?,"Có, tôi cảm thấy ngủ ngon hơn khi không sử dụng mạng xã hội trước khi ngủ."
Mạng xã hội ảnh hưởng đến thói quen ngủ của bạn như thế nào?,Mạng xã hội ảnh hưởng tiêu cực đến thói quen ngủ của tôi.
Bạn đã bao giờ xóa hoặc vô hiệu hóa tài khoản trên các nền tảng trực tuyến của mình chưa?,"Có, tôi đã xóa hoặc vô hiệu hóa tài khoản trên các nền tảng trực tuyến của mình."
Bạn đã bao giờ xóa tài khoản Facebook của mình chưa?,"Có, tôi đã xóa tài khoản Facebook của mình."
Bạn có từng tạm dừng sử dụng mạng xã hội không?,"Có, tôi từng tạm dừng sử dụng mạng xã hội."
Bạn có cảm thấy cuộc sống tốt hơn khi không sử dụng mạng xã hội không?,"Có, tôi cảm thấy cuộc sống tốt hơn khi không sử dụng mạng xã hội."
Việc xóa hoặc vô hiệu hóa tài khoản mạng xã hội ảnh hưởng đến bạn như thế nào?,Việc xóa hoặc vô hiệu hóa tài khoản mạng xã hội giúp tôi tập trung hơn vào cuộc sống thực.
Bạn quản lý thời gian sử dụng các thiết bị trực tuyến của mình như thế nào?,Tôi quản lý thời gian sử dụng các thiết bị trực tuyến bằng cách đặt giới hạn thời gian hàng ngày.
Bạn quản lý thời gian sử dụng điện thoại của mình như thế nào?,Tôi quản lý thời gian sử dụng điện thoại bằng cách sử dụng ứng dụng theo dõi thời gian.
Bạn có kiểm soát được thời gian sử dụng mạng xã hội không?,"Có, tôi kiểm soát được thời gian sử dụng mạng xã hội bằng cách đặt giới hạn và tắt thông báo."
Bạn có cảm thấy thoải mái khi không sử dụng thiết bị điện tử không?,"Có, tôi cảm thấy thoải mái khi không sử dụng thiết bị điện tử."
Thời gian sử dụng thiết bị điện tử ảnh hưởng đến cuộc sống của bạn như thế nào?,Thời gian sử dụng thiết bị điện tử ảnh hưởng đến cuộc sống của tôi bằng cách giảm thời gian dành cho các hoạt động khác.
Bạn đã bao giờ cảm thấy quá tải vì quá nhiều nội dung trên mạng xã hội chưa?,"Có, tôi đã cảm thấy quá tải vì quá nhiều nội dung trên mạng xã hội."
Bạn đã bao giờ cảm thấy khó chịu vì quá nhiều thông báo trên Facebook chưa?,"Có, tôi đã cảm thấy khó chịu vì quá nhiều thông báo trên Facebook."
Mạng xã hội có khiến bạn cảm thấy choáng ngợp không?,"Có, mạng xã hội khiến tôi cảm thấy choáng ngợp."
Bạn có thích xem các nội dung khác hơn là nội dung trên mạng xã hội không?,Tôi thích xem các nội dung khác hơn là nội dung trên mạng xã hội.
Nội dung trên mạng xã hội ảnh hưởng đến cảm xúc của bạn như thế nào?,Nội dung trên mạng xã hội ảnh hưởng đến cảm xúc của tôi bằng cách làm tôi cảm thấy áp lực và lo lắng.
Bạn có nghĩ rằng các nền tảng trực tuyến là cần thiết cho mạng lưới chuyên nghiệp không?,"Có, tôi nghĩ rằng các nền tảng trực tuyến là cần thiết cho mạng lưới chuyên nghiệp."
Bạn có nghĩ rằng LinkedIn là cần thiết cho việc tìm kiếm việc làm không?,"Có, tôi nghĩ rằng LinkedIn là cần thiết cho việc tìm kiếm việc làm."
Mạng xã hội có vai trò quan trọng trong việc xây dựng mạng lưới nghề nghiệp không?,"Có, mạng xã hội có vai trò quan trọng trong việc xây dựng mạng lưới nghề nghiệp."
Bạn có thấy mạng xã hội không cần thiết cho mạng lưới chuyên nghiệp không?,"Không, tôi không thấy mạng xã hội cần thiết cho mạng lưới chuyên nghiệp."
Mạng xã hội ảnh hưởng đến sự nghiệp của bạn như thế nào?,Mạng xã hội ảnh hưởng tích cực và tiêu cực đến sự nghiệp của tôi.
Bạn đã bao giờ tìm được người cố vấn thông qua các nền tảng trực tuyến chưa?,"Có, tôi đã tìm được người cố vấn thông qua các nền tảng trực tuyến."
Bạn đã bao giờ tìm được người cố vấn thông qua LinkedIn chưa?,"Có, tôi đã tìm được người cố vấn thông qua LinkedIn."
Bạn có từng tìm được người hướng dẫn nghề nghiệp qua mạng xã hội không?,"Có, tôi từng tìm được người hướng dẫn nghề nghiệp qua mạng xã hội."
Bạn có thích tìm kiếm người cố vấn thông qua các kênh truyền thống hơn là mạng xã hội không?,Tôi thích tìm kiếm người cố vấn thông qua các kênh truyền thống hơn là mạng xã hội.
Mạng xã hội giúp bạn tìm kiếm người cố vấn như thế nào?,Mạng xã hội giúp tôi tìm kiếm người cố vấn bằng cách kết nối với những chuyên gia trong ngành.
Bạn có sử dụng các nền tảng trực tuyến để tham gia hoạt động trực tuyến hoặc các phong trào xã hội không?,"Có, tôi sử dụng các nền tảng trực tuyến để tham gia hoạt động trực tuyến và các phong trào xã hội."
Bạn có sử dụng Facebook để tham gia các nhóm hoạt động xã hội không?,"Có, tôi sử dụng Facebook để tham gia các nhóm hoạt động xã hội."
Mạng xã hội có giúp bạn kết nối với các phong trào xã hội không?,"Có, mạng xã hội giúp tôi kết nối với các phong trào xã hội."
Bạn có thích tham gia các hoạt động xã hội trực tiếp hơn là trực tuyến không?,Tôi thích tham gia các hoạt động xã hội trực tiếp hơn là trực tuyến.
Mạng xã hội ảnh hưởng đến việc tham gia các hoạt động xã hội của bạn như thế nào?,Mạng xã hội ảnh hưởng tích cực và tiêu cực đến việc tham gia các hoạt động xã hội của tôi.
Bạn có nghĩ rằng các nền tảng trực tuyến làm tăng hay giảm các kỹ năng xã hội trong đời thực không?,Tôi nghĩ rằng các nền tảng trực tuyến làm giảm các kỹ năng xã hội trong đời thực.
Bạn có nghĩ rằng việc sử dụng điện thoại làm giảm khả năng giao tiếp trực tiếp không?,"Có, tôi nghĩ rằng việc sử dụng điện thoại làm giảm khả năng giao tiếp trực tiếp."
Mạng xã hội có ảnh hưởng đến kỹ năng giao tiếp ngoài đời thực của bạn không?,"Có, mạng xã hội ảnh hưởng đến kỹ năng giao tiếp ngoài đời thực của tôi."
Bạn có thấy mạng xã hội giúp cải thiện các kỹ năng xã hội không?,"Có, tôi thấy mạng xã hội giúp cải thiện các kỹ năng xã hội."
Mạng xã hội ảnh hưởng đến các kỹ năng xã hội của bạn như thế nào?,Mạng xã hội ảnh hưởng tích cực và tiêu cực đến các kỹ năng xã hội của tôi.
Bạn đã bao giờ đặt mục tiêu cụ thể cho việc sử dụng các nền tảng trực tuyến của mình chưa?,"Có, tôi đã đặt mục tiêu cụ thể cho việc sử dụng các nền tảng trực tuyến của mình."
Bạn đã bao giờ đặt mục tiêu về thời gian sử dụng mạng xã hội chưa?,"Có, tôi đã đặt mục tiêu về thời gian sử dụng mạng xã hội."
Bạn có từng lên kế hoạch cho việc sử dụng mạng xã hội không?,"Có, tôi từng lên kế hoạch cho việc sử dụng mạng xã hội."
Bạn có thấy việc đặt mục tiêu cho việc sử dụng mạng xã hội là không cần thiết không?,"Không, tôi không thấy việc đặt mục tiêu cho việc sử dụng mạng xã hội là cần thiết."
Việc đặt mục tiêu cho việc sử dụng mạng xã hội ảnh hưởng đến bạn như thế nào?,Việc đặt mục tiêu cho việc sử dụng mạng xã hội giúp tôi quản lý thời gian tốt hơn.
Bạn có nghĩ rằng các nền tảng trực tuyến đã giúp cải thiện khả năng sáng tạo của bạn không?,"Có, tôi nghĩ rằng các nền tảng trực tuyến đã giúp cải thiện khả năng sáng tạo của tôi."
Bạn có nghĩ rằng việc xem video trên YouTube giúp bạn sáng tạo hơn không?,"Có, tôi nghĩ rằng việc xem video trên YouTube giúp tôi sáng tạo hơn."
Mạng xã hội có giúp bạn phát triển khả năng sáng tạo không?,"Có, mạng xã hội giúp tôi phát triển khả năng sáng tạo."
Bạn có thấy mạng xã hội không giúp bạn sáng tạo hơn không?,"Không, tôi thấy mạng xã hội không giúp tôi sáng tạo hơn."
Mạng xã hội ảnh hưởng đến khả năng sáng tạo của bạn như thế nào?,Mạng xã hội ảnh hưởng tích cực và tiêu cực đến khả năng sáng tạo của tôi.
Bạn đã bao giờ nhận được lời khuyên học tập có giá trị thông qua các nền tảng trực tuyến chưa?,"Có, tôi đã nhận được lời khuyên học tập có giá trị thông qua các nền tảng trực tuyến."
Bạn đã bao giờ nhận được lời khuyên học tập từ các nhóm học tập trên Facebook chưa?,"Có, tôi đã nhận được lời khuyên học tập từ các nhóm học tập trên Facebook."
Mạng xã hội có giúp bạn học tập hiệu quả hơn không?,"Có, mạng xã hội giúp tôi học tập hiệu quả hơn."
Bạn có thích học tập qua sách vở hơn là qua mạng xã hội không?,Tôi thích học tập qua sách vở hơn là qua mạng xã hội.
Mạng xã hội ảnh hưởng đến việc học tập của bạn như thế nào?,Mạng xã hội ảnh hưởng tích cực và tiêu cực đến việc học tập của tôi.
Bạn có sử dụng các nền tảng trực tuyến để giới thiệu thành tích của mình không?,"Có, tôi sử dụng các nền tảng trực tuyến để giới thiệu thành tích của mình."
Bạn có sử dụng LinkedIn để giới thiệu kinh nghiệm làm việc của mình không?,"Có, tôi sử dụng LinkedIn để giới thiệu kinh nghiệm làm việc của mình."
Mạng xã hội có giúp bạn quảng bá bản thân không?,"Có, mạng xã hội giúp tôi quảng bá bản thân."
Bạn có thích giới thiệu thành tích của mình qua các kênh truyền thống hơn là mạng xã hội không?,Tôi thích giới thiệu thành tích của mình qua các kênh truyền thống hơn là mạng xã hội.
Mạng xã hội ảnh hưởng đến việc giới thiệu bản thân của bạn như thế nào?,Mạng xã hội ảnh hưởng tích cực và tiêu cực đến việc giới thiệu bản thân của tôi.
Bạn có nghĩ rằng việc sử dụng các nền tảng trực tuyến quá mức sẽ ảnh hưởng đến năng suất không?,"Có, tôi nghĩ rằng việc sử dụng các nền tảng trực tuyến quá mức sẽ ảnh hưởng đến năng suất."
Bạn có nghĩ rằng việc dành quá nhiều thời gian cho điện thoại sẽ làm giảm năng suất không?,"Có, tôi nghĩ rằng việc dành quá nhiều thời gian cho điện thoại sẽ làm giảm năng suất."
Mạng xã hội có khiến bạn mất tập trung và giảm năng suất không?,"Có, mạng xã hội khiến tôi mất tập trung và giảm năng suất."
Bạn có thấy mạng xã hội giúp bạn làm việc hiệu quả hơn không?,"Không, tôi thấy mạng xã hội giúp tôi làm việc hiệu quả hơn."
Mạng xã hội ảnh hưởng đến năng suất của bạn như thế nào?,Mạng xã hội ảnh hưởng tích cực và tiêu cực đến năng suất của tôi.
Chiến lược cá nhân của bạn để duy trì sự cân bằng lành mạnh với các nền tảng trực tuyến là gì?,Chiến lược cá nhân của tôi để duy trì sự cân bằng lành mạnh với các nền tảng trực tuyến là đặt giới hạn thời gian sử dụng hàng ngày.
Chiến lược cá nhân của bạn để quản lý thời gian sử dụng điện thoại là gì?,Chiến lược cá nhân của tôi để quản lý thời gian sử dụng điện thoại là sử dụng ứng dụng theo dõi thời gian và đặt giới hạn thời gian sử dụng.
Bạn có biện pháp nào để sử dụng mạng xã hội một cách cân bằng không?,Tôi có biện pháp để sử dụng mạng xã hội một cách cân bằng bằng cách đặt giới hạn thời gian và tắt thông báo không cần thiết.
Bạn có thấy việc sử dụng mạng xã hội không ảnh hưởng đến sự cân bằng cuộc sống của bạn không?,"Không, tôi thấy việc sử dụng mạng xã hội không ảnh hưởng đến sự cân bằng cuộc sống của tôi."
Chiến lược cá nhân của bạn để duy trì sự cân bằng cuộc sống và mạng xã hội là gì?,Chiến lược cá nhân của tôi để duy trì sự cân bằng cuộc sống và mạng xã hội là đặt ưu tiên cho các hoạt động ngoài đời thực và hạn chế thời gian sử dụng mạng xã hội.
Sinh viên có cảm thấy căng thẳng hơn vì mạng xã hội không?,"Sinh viên cảm thấy áp lực hơn vì mạng xã hội, do phải theo kịp tin tức, trào lưu và hình ảnh 'thành công' của người khác."
Sinh viên so sánh bản thân với người khác trên mạng xã hội thường xuyên như thế nào?,"Sinh viên thường xuyên so sánh, đặc biệt về ngoại hình, thành tích học tập và đời sống xã hội."
Nghiện mạng xã hội có ảnh hưởng đến kết quả học tập của sinh viên không?,"Nghiện mạng xã hội gây xao nhãng, làm giảm thời gian tự học và tập trung vào bài vở."
Hội chứng sợ bỏ lỡ (FOMO) biểu hiện thế nào ở sinh viên?,"FOMO ở sinh viên thể hiện qua cảm giác sợ mất cơ hội giao lưu, cập nhật xu hướng mới hoặc bỏ lỡ các sự kiện."
Mạng xã hội có cung cấp sự hỗ trợ cảm xúc cho sinh viên không?,"Mạng xã hội cung cấp hỗ trợ cảm xúc, như tìm thấy cộng đồng đồng cảm, chia sẻ khó khăn hoặc nhận lời khuyên từ bạn bè."
Bạo lực mạng trên mạng xã hội ảnh hưởng đến sức khỏe tâm thần của sinh viên như thế nào?,"Bạo lực mạng khiến sinh viên dễ mắc lo âu xã hội, giảm tự tin và sợ hãi giao tiếp thực tế."
Mạng xã hội ảnh hưởng thế nào đến hình ảnh cơ thể của sinh viên?,Hình ảnh cơ thể lý tưởng trên mạng khiến sinh viên dễ mặc cảm về ngoại hình của mình.
Sinh viên có thường xuyên đa nhiệm với mạng xã hội khi học không?,"Sinh viên thường đa nhiệm, vừa học vừa nhắn tin, xem video hoặc trả lời thông báo từ mạng xã hội."
"Sự công nhận xã hội (like, bình luận) có quan trọng đối với sinh viên không?","Sự công nhận qua like, comment làm tăng cảm giác được chấp nhận và giá trị cá nhân đối với sinh viên."
Mạng xã hội có tạo ra kỳ vọng không thực tế về cuộc sống cho sinh viên không?,"Mạng xã hội tạo ra hình ảnh cuộc sống lý tưởng hóa, khiến sinh viên kỳ vọng phi thực tế vào bản thân."
Sinh viên có cảm thấy cô đơn dù hoạt động tích cực trên mạng xã hội không?,"Dù hoạt động nhiều trên mạng, sinh viên vẫn có thể thấy cô đơn vì thiếu sự kết nối thực sự."
Việc sử dụng mạng xã hội có thể nâng cao khả năng sáng tạo của sinh viên không?,"Mạng xã hội thúc đẩy sáng tạo khi sinh viên tiếp cận các nội dung nghệ thuật, sáng tạo mới lạ và tự tạo sản phẩm."
Mạng xã hội ảnh hưởng thế nào đến quan điểm chính trị của sinh viên?,"Quan điểm chính trị của sinh viên dễ bị định hình bởi thông tin, chiến dịch truyền thông và cộng đồng trên mạng xã hội."
Sinh viên có nhận thức được tác động của mạng xã hội đến sức khỏe tâm thần của họ không?,"Một bộ phận sinh viên nhận ra tác động xấu từ mạng xã hội và cố gắng kiểm soát, nhưng số đông vẫn chưa ý thức đầy đủ."
Sinh viên quản lý thời gian sử dụng mạng xã hội như thế nào?,Sinh viên quản lý thời gian sử dụng bằng cách đặt giới hạn giờ dùng app hoặc tự ép mình giảm thời gian online.
Mạng xã hội có thể được sử dụng hiệu quả cho mục đích giáo dục không?,"Mạng xã hội hỗ trợ giáo dục qua livestream bài giảng, khóa học online, nhóm học tập và chia sẻ kiến thức."
Thử thách và trào lưu mạng xã hội ảnh hưởng thế nào đến sinh viên?,"Thử thách, trào lưu mạng giúp sinh viên tăng tính sáng tạo nhưng đôi khi dẫn tới hành động nguy hiểm, thiếu kiểm soát."
Sinh viên có cảm thấy lo lắng khi không thể truy cập mạng xã hội không?,"Sinh viên thấy lo lắng khi mất quyền truy cập, như mất điện thoại hoặc wifi, vì sợ mất thông tin hoặc bị 'lạc hậu'."
Ảnh hưởng từ bạn bè trên mạng xã hội tác động thế nào đến hành vi của sinh viên?,"Bạn bè trên mạng có thể gây ảnh hưởng tích cực như học tập chăm chỉ hơn, hoặc tiêu cực như đua đòi theo trào lưu."
Mạng xã hội có phải công cụ hiệu quả cho việc kết nối giữa sinh viên không?,"Mạng xã hội là công cụ kết nối, giúp sinh viên tìm bạn mới, duy trì liên lạc và tạo các nhóm học tập chung."
Sinh viên nhìn nhận vấn đề quyền riêng tư trên mạng xã hội như thế nào?,"Sinh viên ngày càng quan tâm hơn đến quyền riêng tư, nhưng vẫn có nhiều người chia sẻ quá mức mà không ý thức nguy cơ."
Chiến dịch mạng xã hội có thể truyền cảm hứng cho thay đổi tích cực ở sinh viên không?,"Các chiến dịch xã hội như bảo vệ môi trường, chống bắt nạt mạng, truyền cảm hứng thay đổi tích cực cho sinh viên."
Sinh viên gặp khó khăn gì khi cân bằng giữa các mối quan hệ online và offline?,"Sinh viên khó cân bằng vì thời gian cho các mối quan hệ online dễ lấn át thời gian dành cho bạn bè, gia đình ngoài đời."
Sự kết nối liên tục ảnh hưởng thế nào đến ranh giới cá nhân của sinh viên?,"Kết nối liên tục khiến sinh viên khó duy trì ranh giới giữa học tập, giải trí và cuộc sống riêng tư."
Mạng xã hội có ảnh hưởng đến kỹ năng ra quyết định của sinh viên không?,"Sinh viên ra quyết định khó khăn hơn, do chịu ảnh hưởng từ quá nhiều ý kiến trái chiều trên mạng xã hội."
Sinh viên có bị ảnh hưởng bởi các influencer trên mạng xã hội không?,"Influencer ảnh hưởng lớn đến sinh viên, từ cách ăn mặc, phong cách sống đến lựa chọn ngành học, nghề nghiệp."
Tình trạng quá tải nội dung trên mạng xã hội ảnh hưởng thế nào đến sinh viên?,"Quá tải nội dung gây ra cảm giác bối rối, mệt mỏi thông tin, và thậm chí dẫn đến tình trạng tê liệt hành động (information paralysis)."
Tham gia cộng đồng trực tuyến có lợi cho sinh viên không?,"Cộng đồng trực tuyến giúp sinh viên tìm thấy sự hỗ trợ, lời khuyên và các cơ hội phát triển cá nhân."
Nội dung hài hước và meme ảnh hưởng thế nào đến tâm trạng sinh viên?,"Nội dung hài hước, meme có tác dụng giảm stress, tạo cảm giác thư giãn, vui vẻ trong ngày học căng thẳng."
Sinh viên có phụ thuộc vào mạng xã hội để cập nhật tin tức không?,"Sinh viên phụ thuộc mạnh vào mạng xã hội để nắm bắt tin tức nhanh, nhưng cũng dễ bị tiếp xúc với tin giả."
Nội dung đã chọn lọc trên mạng xã hội ảnh hưởng thế nào đến nhận thức thực tế của sinh viên?,"Nội dung chọn lọc làm sinh viên nhận thức lệch lạc, nghĩ rằng thành công, hạnh phúc là dễ dàng đạt được."
Sinh viên có ý thức về dấu vết số (digital footprint) của mình không?,"Nhận thức về dấu vết số đang tăng, nhưng nhiều sinh viên vẫn chưa thực sự hành động để bảo vệ dữ liệu cá nhân."
Mạng xã hội có thể củng cố tình bạn đường dài giữa các sinh viên không?,"Mạng xã hội giúp duy trì tình bạn, nhất là những mối quan hệ xa cách về địa lý hoặc ít cơ hội gặp gỡ trực tiếp."
Sinh viên có trải nghiệm mệt mỏi vì phải liên tục ra quyết định trên mạng xã hội không?,"Sinh viên trải qua mệt mỏi quyết định, vì phải liên tục chọn lựa xem tin tức, phản hồi tin nhắn hay đăng tải nội dung."
Sinh viên sử dụng mạng xã hội để thể hiện bản thân như thế nào?,"Sinh viên thể hiện bản thân qua những bài đăng, video, ảnh cá nhân, thể hiện quan điểm và phong cách sống."
Tiếp xúc với mạng xã hội có ảnh hưởng đến thói quen tiêu dùng của sinh viên không?,"Mạng xã hội làm thay đổi thói quen tiêu dùng, sinh viên bị ảnh hưởng bởi quảng cáo, review, và xu hướng tiêu dùng nhanh."
Tranh cãi trực tuyến ảnh hưởng thế nào đến sinh viên?,"Tranh cãi online khiến sinh viên mất năng lượng cảm xúc, căng thẳng và giảm tinh thần học tập."
Sinh viên có bị ảnh hưởng bởi văn hóa 'cancel' trên mạng xã hội không?,"Văn hóa cancel làm sinh viên thận trọng hơn khi thể hiện ý kiến, sợ bị tẩy chay hoặc chỉ trích công khai."
Hình ảnh thành công được đăng trên mạng xã hội ảnh hưởng thế nào đến sinh viên?,Hình ảnh thành công trên mạng khiến sinh viên tự áp lực bản thân phải đạt thành tích cao ngay lập tức.
Sinh viên có tìm được hình mẫu lý tưởng thông qua mạng xã hội không?,"Sinh viên tìm thấy hình mẫu lý tưởng, thường là những người truyền cảm hứng về học tập, khởi nghiệp hoặc phát triển bản thân."
Mạng xã hội ảnh hưởng thế nào đến thói quen ngủ của sinh viên?,"Mạng xã hội làm rối loạn giấc ngủ, do ánh sáng xanh và thói quen lướt mạng trước khi ngủ."
